1000 1 200
193.75 18.75 6.25 6.25
187.5 56.25 3.125 6.25
6.25 190.625 6.25 3.125
81.25 162.5 6.25 3.125
75 56.25 6.25 6.25
112.5 187.5 6.25 3.125
37.5 93.75 6.25 6.25
37.5 112.5 6.25 3.125
118.75 40.625 6.25 3.125
125 153.125 6.25 3.125
175 31.25 3.125 6.25
75 150 6.25 3.125
43.75 34.375 6.25 3.125
112.5 112.5 6.25 3.125
81.25 56.25 3.125 6.25
62.5 68.75 6.25 6.25
18.75 71.875 6.25 3.125
187.5 112.5 6.25 3.125
106.25 131.25 6.25 3.125
50 9.375 6.25 3.125
106.25 118.75 6.25 3.125
178.125 87.5 3.125 6.25
193.75 106.25 6.25 3.125
150 181.25 6.25 3.125
125 150 6.25 3.125
162.5 81.25 6.25 6.25
175 193.75 6.25 3.125
12.5 184.375 6.25 3.125
31.25 84.375 6.25 3.125
62.5 175 6.25 3.125
187.5 50 3.125 6.25
59.375 12.5 3.125 6.25
100 131.25 6.25 3.125
37.5 190.625 6.25 3.125
12.5 68.75 6.25 3.125
112.5 100 6.25 3.125
112.5 37.5 6.25 3.125
112.5 156.25 6.25 6.25
68.75 134.375 6.25 3.125
137.5 118.75 6.25 3.125
175 25 3.125 6.25
21.875 162.5 3.125 6.25
81.25 50 3.125 6.25
150 159.375 6.25 3.125
25 178.125 6.25 3.125
18.75 37.5 3.125 6.25
12.5 37.5 6.25 6.25
25 175 6.25 3.125
37.5 62.5 3.125 6.25
187.5 187.5 6.25 3.125
87.5 168.75 6.25 3.125
184.375 125 3.125 6.25
68.75 168.75 6.25 3.125
62.5 109.375 6.25 3.125
75 50 6.25 6.25
12.5 175 6.25 3.125
37.5 143.75 6.25 6.25
150 156.25 6.25 3.125
37.5 37.5 3.125 6.25
187.5 118.75 6.25 3.125
37.5 178.125 6.25 3.125
150 150 6.25 3.125
75 156.25 6.25 3.125
75 187.5 6.25 3.125
137.5 190.625 6.25 3.125
184.375 137.5 3.125 6.25
87.5 159.375 6.25 3.125
125 171.875 6.25 3.125
118.75 118.75 6.25 3.125
193.75 25 6.25 6.25
43.75 178.125 6.25 3.125
187.5 196.875 6.25 3.125
43.75 175 6.25 3.125
162.5 193.75 6.25 3.125
106.25 190.625 6.25 3.125
118.75 175 6.25 6.25
181.25 31.25 3.125 6.25
46.875 93.75 3.125 6.25
12.5 43.75 6.25 6.25
100 125 6.25 3.125
0 62.5 6.25 6.25
81.25 68.75 3.125 6.25
18.75 68.75 6.25 3.125
0 121.875 6.25 3.125
87.5 184.375 6.25 3.125
12.5 84.375 6.25 3.125
0 50 6.25 3.125
75 171.875 6.25 3.125
12.5 59.375 6.25 3.125
25 84.375 6.25 3.125
50 112.5 6.25 3.125
56.25 62.5 3.125 6.25
43.75 190.625 6.25 3.125
143.75 118.75 6.25 3.125
37.5 34.375 6.25 3.125
187.5 134.375 6.25 3.125
43.75 87.5 3.125 6.25
84.375 62.5 3.125 6.25
40.625 62.5 3.125 6.25
181.25 25 3.125 6.25
75 165.625 6.25 3.125
162.5 181.25 6.25 3.125
150 153.125 6.25 3.125
190.625 93.75 3.125 6.25
37.5 68.75 3.125 6.25
125 156.25 6.25 3.125
112.5 175 6.25 6.25
0 18.75 6.25 3.125
75 162.5 6.25 3.125
0 84.375 6.25 3.125
43.75 184.375 6.25 3.125
0 78.125 6.25 3.125
196.875 62.5 3.125 6.25
100 134.375 6.25 3.125
50 184.375 6.25 3.125
68.75 178.125 6.25 3.125
62.5 165.625 6.25 3.125
184.375 62.5 3.125 6.25
175 150 6.25 3.125
56.25 112.5 6.25 3.125
106.25 121.875 6.25 3.125
84.375 50 3.125 6.25
112.5 106.25 6.25 3.125
193.75 12.5 6.25 6.25
162.5 112.5 6.25 3.125
137.5 193.75 6.25 3.125
43.75 62.5 6.25 6.25
84.375 87.5 3.125 6.25
25 31.25 6.25 3.125
40.625 68.75 3.125 6.25
118.75 100 6.25 3.125
143.75 175 6.25 6.25
12.5 178.125 6.25 3.125
140.625 75 3.125 6.25
196.875 137.5 3.125 6.25
162.5 178.125 6.25 3.125
106.25 93.75 3.125 6.25
43.75 37.5 6.25 6.25
137.5 187.5 6.25 3.125
18.75 193.75 6.25 3.125
184.375 18.75 3.125 6.25
156.25 181.25 6.25 3.125
25 18.75 6.25 3.125
18.75 31.25 6.25 3.125
168.75 181.25 6.25 3.125
